ID;"Code";"Landsdeel"
0;"LD01";"Noord-Nederland"
1;"LD02";"Oost-Nederland"
2;"LD03";"West-Nederland"
3;"LD04";"Zuid-Nederland"
4;"PV20";"Groningen"
5;"PV21";"Friesland"
6;"PV22";"Drenthe"
7;"PV23";"Overijssel"
8;"PV24";"Flevoland"
9;"PV25";"Gelderland"
10;"PV26";"Utrecht"
11;"PV27";"Noord-Holland"
12;"PV28";"Zuid-Holland"
13;"PV29";"Zeeland"
14;"PV30";"Noord-Brabant"
15;"PV31";"Limburg"
16;"GM0363";"Amsterdam"
17;"GM0518";"Den-Haag"
18;"GM0599";"Rotterdam"
19;"GM0344";"Utrecht (gemeente)"
20;"NL01";"Nederland"
