"ID;""RegioS"";""Perioden"";""PrijsindexVerkoopprijzen_1"";""OntwikkelingTOVVoorgaandePeriode_2"";""OntwikkelingTOVEenJaarEerder_3"";""VerkochteWoningen_4"";""OntwikkelingTOVVoorgaandePeriode_5"";""OntwikkelingTOVEenJaarEerder_6"";""GemiddeldeVerkoopprijs_7"";""TotaleWaardeVerkoopprijzen_8"""
"0;""NL01"";""1995KW01"";""  41.4"";"""";"""";""   30734"";"""";"""";""   89792"";""    2760"""
"1;""NL01"";""1995KW02"";""    41.9"";""     1.2"";"""";""   37054"";""    20.6"";"""";""   92094"";""    3412"""
"2;""NL01"";""1995KW03"";""    43.1"";""     2.8"";"""";""   40498"";""     9.3"";"""";""   95819"";""    3880"""
"3;""NL01"";""1995KW04"";""    43.6"";""     1.3"";"""";""   46282"";""    14.3"";"""";""   95892"";""    4438"""
"4;""NL01"";""1995JJ00"";""    42.5"";"""";"""";""  154568"";"""";"""";""   93750"";""   14491"""
"5;""NL01"";""1996KW01"";""    44.8"";""     2.8"";""     8.3"";""   35669"";""   -22.9"";""    16.1"";""   97224"";""    3468"""
"6;""NL01"";""1996KW02"";""    46.4"";""     3.4"";""    10.7"";""   43810"";""    22.8"";""    18.2"";""  100280"";""    4393"""
"7;""NL01"";""1996KW03"";""    48.0"";""     3.5"";""    11.5"";""   46582"";""     6.3"";""    15.0"";""  104754"";""    4880"""
"8;""NL01"";""1996KW04"";""    49.0"";""     2.2"";""    12.4"";""   49690"";""     6.7"";""     7.4"";""  106508"";""    5292"""
"9;""NL01"";""1996JJ00"";""    47.1"";""    10.8"";""    10.8"";""  175751"";""    13.7"";""    13.7"";""  102607"";""   18033"""
"10;""NL01"";""1997KW01"";""    50.6"";""     3.2"";""    12.8"";""   35763"";""   -28.0"";""     0.3"";""  107138"";""    3832"""
"11;""NL01"";""1997KW02"";""    52.0"";""     2.7"";""    12.1"";""   47160"";""    31.9"";""     7.6"";""  110934"";""    5232"""
"12;""NL01"";""1997KW03"";""    53.5"";""     2.9"";""    11.4"";""   49619"";""     5.2"";""     6.5"";""  115563"";""    5734"""
"13;""NL01"";""1997KW04"";""    54.6"";""     2.2"";""    11.4"";""   53092"";""     7.0"";""     6.8"";""  116960"";""    6210"""
"14;""NL01"";""1997JJ00"";""    52.7"";""    11.9"";""    11.9"";""  185634"";""     5.6"";""     5.6"";""  113163"";""   21007"""
"15;""NL01"";""1998KW01"";""    55.9"";""     2.4"";""    10.6"";""   38128"";""   -28.2"";""     6.6"";""  118873"";""    4532"""
"16;""NL01"";""1998KW02"";""    57.4"";""     2.6"";""    10.4"";""   47410"";""    24.3"";""     0.5"";""  121358"";""    5754"""
"17;""NL01"";""1998KW03"";""    59.3"";""     3.4"";""    10.9"";""   51153"";""     7.9"";""     3.1"";""  127361"";""    6515"""
"18;""NL01"";""1998KW04"";""    61.0"";""     2.8"";""    11.6"";""   55931"";""     9.3"";""     5.3"";""  128521"";""    7188"""
"19;""NL01"";""1998JJ00"";""    58.4"";""    10.9"";""    10.9"";""  192622"";""     3.8"";""     3.8"";""  124540"";""   23989"""
"20;""NL01"";""1999KW01"";""    63.4"";""     3.9"";""    13.3"";""   42223"";""   -24.5"";""    10.7"";""  131800"";""    5565"""
"21;""NL01"";""1999KW02"";""    66.1"";""     4.3"";""    15.2"";""   50211"";""    18.9"";""     5.9"";""  139546"";""    7007"""
"22;""NL01"";""1999KW03"";""    69.6"";""     5.3"";""    17.4"";""   55575"";""    10.7"";""     8.6"";""  148759"";""    8267"""
"23;""NL01"";""1999KW04"";""    72.6"";""     4.4"";""    19.1"";""   56529"";""     1.7"";""     1.1"";""  155204"";""    8774"""
"24;""NL01"";""1999JJ00"";""    67.9"";""    16.3"";""    16.3"";""  204538"";""     6.2"";""     6.2"";""  144778"";""   29613"""
"25;""NL01"";""2000KW01"";""    75.9"";""     4.5"";""    19.9"";""   39643"";""   -29.9"";""    -6.1"";""  159365"";""    6318"""
"26;""NL01"";""2000KW02"";""    78.9"";""     3.9"";""    19.4"";""   47098"";""    18.8"";""    -6.2"";""  167599"";""    7894"""
"27;""NL01"";""2000KW03"";""    82.3"";""     4.3"";""    18.2"";""   48794"";""     3.6"";""   -12.2"";""  177486"";""    8660"""
"28;""NL01"";""2000KW04"";""    84.2"";""     2.3"";""    15.8"";""   53823"";""    10.3"";""    -4.8"";""  180360"";""    9707"""
"29;""NL01"";""2000JJ00"";""    80.3"";""    18.2"";""    18.2"";""  189358"";""    -7.4"";""    -7.4"";""  172050"";""   32579"""
"30;""NL01"";""2001KW01"";""    86.2"";""     2.4"";""    13.5"";""   37729"";""   -29.9"";""    -4.8"";""  180341"";""    6804"""
"31;""NL01"";""2001KW02"";""    88.5"";""     2.7"";""    12.1"";""   48191"";""    27.7"";""     2.3"";""  186614"";""    8993"""
"32;""NL01"";""2001KW03"";""    90.8"";""     2.6"";""    10.3"";""   52498"";""     8.9"";""     7.6"";""  191524"";""   10055"""
"33;""NL01"";""2001KW04"";""    91.6"";""     0.9"";""     8.8"";""   57319"";""     9.2"";""     6.5"";""  192334"";""   11024"""
"34;""NL01"";""2001JJ00"";""    89.2"";""    11.1"";""    11.1"";""  195737"";""     3.4"";""     3.4"";""  188397"";""   36876"""
"35;""NL01"";""2002KW01"";""    93.2"";""     1.8"";""     8.2"";""   44377"";""   -22.6"";""    17.6"";""  194834"";""    8646"""
"36;""NL01"";""2002KW02"";""    94.5"";""     1.4"";""     6.8"";""   48081"";""     8.3"";""    -0.2"";""  198713"";""    9554"""
"37;""NL01"";""2002KW03"";""    96.1"";""     1.7"";""     5.9"";""   52597"";""     9.4"";""     0.2"";""  203432"";""   10700"""
"38;""NL01"";""2002KW04"";""    96.0"";""    -0.1"";""     4.9"";""   53331"";""     1.4"";""    -7.0"";""  201154"";""   10728"""
"39;""NL01"";""2002JJ00"";""    95.0"";""     6.4"";""     6.4"";""  198386"";""     1.4"";""     1.4"";""  199752"";""   39628"""
"40;""NL01"";""2003KW01"";""    96.9"";""     0.9"";""     3.9"";""   39587"";""   -25.8"";""   -10.8"";""  200535"";""    7939"""
"41;""NL01"";""2003KW02"";""    97.9"";""     1.1"";""     3.6"";""   46278"";""    16.9"";""    -3.8"";""  203216"";""    9404"""
"42;""NL01"";""2003KW03"";""    98.8"";""     0.9"";""     2.8"";""   50365"";""     8.8"";""    -4.2"";""  205078"";""   10329"""
"43;""NL01"";""2003KW04"";""    99.9"";""     1.1"";""     4.0"";""   57176"";""    13.5"";""     7.2"";""  208888"";""   11943"""
"44;""NL01"";""2003JJ00"";""    98.4"";""     3.6"";""     3.6"";""  193406"";""    -2.5"";""    -2.5"";""  204829"";""   39615"""
"45;""NL01"";""2004KW01"";""   101.0"";""     1.1"";""     4.2"";""   39251"";""   -31.4"";""    -0.8"";""  208625"";""    8189"""
"46;""NL01"";""2004KW02"";""   102.1"";""     1.1"";""     4.2"";""   47946"";""    22.2"";""     3.6"";""  212346"";""   10181"""
"47;""NL01"";""2004KW03"";""   103.6"";""     1.5"";""     4.8"";""   50427"";""     5.2"";""     0.1"";""  217298"";""   10958"""
"48;""NL01"";""2004KW04"";""   103.9"";""     0.3"";""     4.0"";""   54317"";""     7.7"";""    -5.0"";""  211771"";""   11503"""
"49;""NL01"";""2004JJ00"";""   102.6"";""     4.3"";""     4.3"";""  191941"";""    -0.8"";""    -0.8"";""  212723"";""   40830"""
"50;""NL01"";""2005KW01"";""   104.9"";""     0.9"";""     3.8"";""   41210"";""   -24.1"";""     5.0"";""  215695"";""    8889"""
"51;""NL01"";""2005KW02"";""   106.1"";""     1.2"";""     4.0"";""   50592"";""    22.8"";""     5.5"";""  220225"";""   11142"""
"52;""NL01"";""2005KW03"";""   107.4"";""     1.2"";""     3.7"";""   55728"";""    10.2"";""    10.5"";""  226905"";""   12645"""
"53;""NL01"";""2005KW04"";""   108.1"";""     0.6"";""     4.0"";""   59099"";""     6.0"";""     8.8"";""  225757"";""   13342"""
"54;""NL01"";""2005JJ00"";""   106.6"";""     3.9"";""     3.9"";""  206629"";""     7.7"";""     7.7"";""  222706"";""   46017"""
"55;""NL01"";""2006KW01"";""   109.7"";""     1.5"";""     4.6"";""   47519"";""   -19.6"";""    15.3"";""  229580"";""   10909"""
"56;""NL01"";""2006KW02"";""   111.0"";""     1.2"";""     4.6"";""   53203"";""    12.0"";""     5.2"";""  234316"";""   12466"""
"57;""NL01"";""2006KW03"";""   112.4"";""     1.3"";""     4.6"";""   53882"";""     1.3"";""    -3.3"";""  241045"";""   12988"""
"58;""NL01"";""2006KW04"";""   112.9"";""     0.5"";""     4.5"";""   55163"";""     2.4"";""    -6.7"";""  237631"";""   13108"""
"59;""NL01"";""2006JJ00"";""   111.5"";""     4.6"";""     4.6"";""  209767"";""     1.5"";""     1.5"";""  235843"";""   49472"""
"60;""NL01"";""2007KW01"";""   114.2"";""     1.1"";""     4.1"";""   45255"";""   -18.0"";""    -4.8"";""  242522"";""   10975"""
"61;""NL01"";""2007KW02"";""   115.6"";""     1.2"";""     4.1"";""   50423"";""    11.4"";""    -5.2"";""  245955"";""   12402"""
"62;""NL01"";""2007KW03"";""   117.3"";""     1.5"";""     4.4"";""   52161"";""     3.4"";""    -3.2"";""  253679"";""   13232"""
"63;""NL01"";""2007KW04"";""   117.7"";""     0.3"";""     4.2"";""   54562"";""     4.6"";""    -1.1"";""  250208"";""   13652"""
"64;""NL01"";""2007JJ00"";""   116.2"";""     4.2"";""     4.2"";""  202401"";""    -3.5"";""    -3.5"";""  248325"";""   50261"""
"65;""NL01"";""2008KW01"";""   119.2"";""     1.2"";""     4.4"";""   40971"";""   -24.9"";""    -9.5"";""  253376"";""   10381"""
"66;""NL01"";""2008KW02"";""   119.3"";""     0.1"";""     3.2"";""   48014"";""    17.2"";""    -4.8"";""  253527"";""   12173"""
"67;""NL01"";""2008KW03"";""   120.6"";""     1.1"";""     2.8"";""   48440"";""     0.9"";""    -7.1"";""  259425"";""   12567"""
"68;""NL01"";""2008KW04"";""   119.7"";""    -0.8"";""     1.7"";""   44967"";""    -7.2"";""   -17.6"";""  252950"";""   11374"""
"69;""NL01"";""2008JJ00"";""   119.7"";""     3.0"";""     3.0"";""  182392"";""    -9.9"";""    -9.9"";""  254918"";""   46495"""
"70;""NL01"";""2009KW01"";""   118.9"";""    -0.7"";""    -0.2"";""   27218"";""   -39.5"";""   -33.6"";""  247692"";""    6742"""
"71;""NL01"";""2009KW02"";""   115.9"";""    -2.5"";""    -2.9"";""   30269"";""    11.2"";""   -37.0"";""  235495"";""    7128"""
"72;""NL01"";""2009KW03"";""   114.3"";""    -1.4"";""    -5.2"";""   33234"";""     9.8"";""   -31.4"";""  233608"";""    7764"""
"73;""NL01"";""2009KW04"";""   113.3"";""    -0.8"";""    -5.3"";""   36811"";""    10.8"";""   -18.1"";""  237755"";""    8752"""
"74;""NL01"";""2009JJ00"";""   115.6"";""    -3.4"";""    -3.4"";""  127532"";""   -30.1"";""   -30.1"";""  238259"";""   30386"""
"75;""NL01"";""2010KW01"";""   113.2"";""    -0.2"";""    -4.8"";""   27745"";""   -24.6"";""     1.9"";""  236712"";""    6568"""
"76;""NL01"";""2010KW02"";""   113.3"";""     0.1"";""    -2.2"";""   31891"";""    14.9"";""     5.4"";""  240001"";""    7654"""
"77;""NL01"";""2010KW03"";""   113.4"";""     0.1"";""    -0.8"";""   32398"";""     1.6"";""    -2.5"";""  244424"";""    7919"""
"78;""NL01"";""2010KW04"";""   112.1"";""    -1.1"";""    -1.1"";""   34093"";""     5.2"";""    -7.4"";""  236733"";""    8071"""
"79;""NL01"";""2010JJ00"";""   113.0"";""    -2.2"";""    -2.2"";""  126127"";""    -1.1"";""    -1.1"";""  239530"";""   30211"""
"80;""NL01"";""2011KW01"";""   111.5"";""    -0.5"";""    -1.5"";""   28358"";""   -16.8"";""     2.2"";""  240132"";""    6810"""
"81;""NL01"";""2011KW02"";""   111.0"";""    -0.4"";""    -2.0"";""   29532"";""     4.1"";""    -7.4"";""  241736"";""    7139"""
"82;""NL01"";""2011KW03"";""   110.2"";""    -0.8"";""    -2.8"";""   30769"";""     4.2"";""    -5.0"";""  245503"";""    7554"""
"83;""NL01"";""2011KW04"";""   108.3"";""    -1.7"";""    -3.4"";""   32080"";""     4.3"";""    -5.9"";""  233229"";""    7482"""
"84;""NL01"";""2011JJ00"";""   110.3"";""    -2.4"";""    -2.4"";""  120739"";""    -4.3"";""    -4.3"";""  240059"";""   28984"""
"85;""NL01"";""2012KW01"";""   106.9"";""    -1.3"";""    -4.1"";""   23951"";""   -25.3"";""   -15.5"";""  235954"";""    5651"""
"86;""NL01"";""2012KW02"";""   104.9"";""    -1.9"";""    -5.5"";""   34628"";""    44.6"";""    17.3"";""  234572"";""    8123"""
"87;""NL01"";""2012KW03"";""   100.7"";""    -3.9"";""    -8.6"";""   22978"";""   -33.6"";""   -25.3"";""  215795"";""    4959"""
"88;""NL01"";""2012KW04"";""   100.1"";""    -0.7"";""    -7.6"";""   35704"";""    55.4"";""    11.3"";""  219746"";""    7846"""
"89;""NL01"";""2012JJ00"";""   103.1"";""    -6.5"";""    -6.5"";""  117261"";""    -2.9"";""    -2.9"";""  226661"";""   26578"""
"90;""NL01"";""2013KW01"";""    97.8"";""    -2.3"";""    -8.6"";""   23090"";""   -35.3"";""    -3.6"";""  213240"";""    4924"""
"91;""NL01"";""2013KW02"";""    95.8"";""    -2.0"";""    -8.7"";""   22111"";""    -4.2"";""   -36.1"";""  210908"";""    4663"""
"92;""NL01"";""2013KW03"";""    96.1"";""     0.4"";""    -4.6"";""   28925"";""    30.8"";""    25.9"";""  214778"";""    6212"""
"93;""NL01"";""2013KW04"";""    95.8"";""    -0.4"";""    -4.3"";""   35968"";""    24.3"";""     0.7"";""  213784"";""    7689"""
"94;""NL01"";""2013JJ00"";""    96.4"";""    -6.6"";""    -6.6"";""  110094"";""    -6.1"";""    -6.1"";""  213353"";""   23489"""
"95;""NL01"";""2014KW01"";""    96.3"";""     0.6"";""    -1.5"";""   28963"";""   -19.5"";""    25.4"";""  215689"";""    6247"""
"96;""NL01"";""2014KW02"";""    96.9"";""     0.6"";""     1.2"";""   34074"";""    17.6"";""    54.1"";""  220670"";""    7519"""
"97;""NL01"";""2014KW03"";""    97.8"";""     0.9"";""     1.8"";""   39160"";""    14.9"";""    35.4"";""  225194"";""    8819"""
"98;""NL01"";""2014KW04"";""    97.9"";""     0.1"";""     2.2"";""   51314"";""    31.0"";""    42.7"";""  224660"";""   11528"""
